created_at,text,retweet_count,favorite_count,user_screen_name,user_followers_count,user_verified,text_processed
2021-03-22 21:33:27,"#23March_किसानों_के_साथ #FarmersProtest 

Never Forgot our Martyrs https://t.co/ydobHCNsXZ",0,1,Fakeer16771146,237,False,never forgot martyr
2021-03-22 21:31:57,"#23March_किसानों_के_साथ #FarmersProtest 

Now days Andhbakht’s are getting trolled &amp; humilated on Twitter. https://t.co/gFr4ssPTxn",1,2,Fakeer16771146,237,False,day andhbakht get troll &amp; humil twitter
2021-03-22 21:27:48,"#23March_किसानों_के_साथ #FarmersProtest 

Farmer stand strong https://t.co/xOZNCilzur",1,3,Fakeer16771146,237,False,stand strong
2021-03-22 21:27:10,"It’s Facebook versus India’s Farmers https://t.co/ae5WnVUGZh via @countercurrents
#FarmersProtest",0,0,SmujSingh,1190,False,facebook versu india
2021-03-22 21:25:50,"Farmers protest in DC. 3/17/2021 #FarmersProtest #msp #Martyrs #DC #protest “we farm, you eat” https://t.co/vD94PWIOrW",0,1,chris_revo,41,False,3/17/2021 farm
2021-03-22 21:24:14,"We stand with our farmers
May Waheguru continue to give kirpa to our brothers and sisters in #delhi
#FarmersProtest #IStandWithFarmers",1,2,Freedomofspea17,15,False,stand with smay waheguru continu give kirpa brother sister
2021-03-22 21:23:02,"#23March_किसानों_के_साथ #FarmersProtest 

Support Farmer Save agriculture https://t.co/Uu9OPLy7AD",0,1,Fakeer16771146,237,False,support save agricultur
2021-03-22 21:21:40,"#23March_किसानों_के_साथ #FarmersProtest 

Our voice couldn’t be oppressed https://t.co/w11r4vpLBE",0,1,Fakeer16771146,237,False,voic couldnt oppress
2021-03-22 21:19:33,"#23March_किसानों_के_साथ #FarmersProtest 

We will win https://t.co/qezJIBxyXG",1,2,Fakeer16771146,237,False,will
2021-03-22 20:57:05,You just have to be human to raise awareness about the #FarmersProtest,8,19,damankaurr,612,False,just have human rais awar about
2021-03-22 20:55:58,❤️ #FarmersProtest I pray they repeal the death laws https://t.co/ILt87ZBC6W,7,28,DoabanJatti,2640,False,pray they repeal death law
2021-03-22 20:28:02,Wondering how NHAI makes annually from pan India tolls #FarmersProtest https://t.co/rWgdyx3HUe,0,0,chetanbhullar,226,False,wonder nhai make annual from india toll
2021-03-22 20:07:43,"Weak people revenge. Strong people forgive. Intelligent people ignore. - Albert Einstein
#FarmersProtest 
#23March_किसानों_के_साथ",3,2,Singhmaan923,526,False,weak peopl reveng strong peopl forgiv intellig peopl ignor albert einstein
2021-03-22 20:02:02,"#23March_किसानों_के_साथ #FarmersProtest

We never bow down to Dictators.History is our witness 🙏🙏🙏 https://t.co/1Pw6gxjQl7",1,1,Fakeer16771146,237,False,never down dictat histori wit
2021-03-22 19:40:53,"Be united and fight for our rights

#23March_किसानों_के_साथ 
#FarmersProtest",0,1,Singhmaan923,526,False,unit fight right
2021-03-22 19:35:09,"Haryanvi's welcoming Dy. CM Dushyant Chautala
#FarmersProtest https://t.co/t76USAkBsN",0,1,KeepPeace100,231,False,haryanvi welcom dushyant chautala
2021-03-22 19:34:33,"The future Prime Minister 👑 

#india #farmersprotest #IStandWithFarmers https://t.co/RzX10LQ1Bs",34,83,sikhexpo,8078,False,futur prime minist
2021-03-22 19:33:07,"Good evening 
#23March_किसानों_के_साथ
#FarmersProtest https://t.co/9Zy6C0hOwW",1,3,MaanDee08215437,2313,False,good even
2021-03-22 19:31:38,"#23March_किसानों_के_साथ #FarmersProtest 

Biggest liar in the history of Mankind https://t.co/NszDLsoCAZ",0,1,Fakeer16771146,237,False,biggest liar histori mankind
2021-03-22 19:28:58,"Age is just a number . 
Being bhagat Singh not And bhagat .
#FarmersProtest 
#bhagatsingh https://t.co/V3yLeFYWJB",1,1,KaranLo81531854,1,False,just number be bhagat singh bhagat
2021-03-22 19:22:56,"#FarmersProtest 
another day, another tweet about what's been happening for four months",0,0,Keerut2,27,False,anoth anoth tweet about what been happen four month
2021-03-22 19:09:55,"Lets see glass half full at least they are not against Farmers. 
#23March_किसानों_के_साथ
#FarmersProtest https://t.co/iioXEZzx0C",0,2,Jass_k_G,145,False,let glass half full least they against
2021-03-22 19:09:01,"#23March_किसानों_के_साथ
These agents never want to see India Grow. 

#FarmersProtest https://t.co/eOhVCS2pcV",0,0,Gaandivdhaari,52,False,these agent never want india grow
2021-03-22 19:09:00,No caption needed ❣️💪 #FarmersProtest https://t.co/sqHd28BtCc,10,18,sukh_slatch,9041,False,caption need
2021-03-22 19:01:11,Sunset #FarmersProtest https://t.co/t52Eiss7ZU,0,0,ParNain9,134,False,sunset
2021-03-22 18:59:49,"What a simple and beautiful thought.

#23March_किसानों_के_साथ #FarmersProtest https://t.co/J5he5ivnWA",1,1,UdaiShiv,8,False,what simpl beauti thought
2021-03-22 18:59:44,"#Maharshi
#FarmersProtest 
#FarmersProstests 
make #Maharshi  into Hindi 
#MaheshBabu  @urstrulyMahesh https://t.co/ZEY0zDdkqo",0,1,shubhamsurkar5,33,False,make into hindi
2021-03-22 18:55:23,"Never felt so broken in my life 

#23March_किसानों_के_साथ  #FarmersProtest",2,4,singh_harry07,398,False,never felt broken life
2021-03-22 18:53:34,Nature🌱 #FarmersProtest https://t.co/ODXzOzFPPe,0,0,ParNain9,134,False,natur
