date,user,location,text
2021-03-05 14:01:12,sarah47089723,,"Hi army, this is Iranian armys
We just found that mehradhiddenofficial(his instagram account) Has been coppied Army… https://t.co/bmgRszgzcN"
2021-03-05 13:49:04,BTSBTS55979113,,"Hi army,This is Iranian armys
We just found mehradhiddenofficial(his i‌g)Has been coppied Army logo and, we announc… https://t.co/1vvfxmXOvb"
2021-03-05 13:44:22,goldentaelight,15 - she/her,"oh my god what the fck?? This is disgusting and unacceptable. 

#NOtoRacism #Army_help #StopAsianHate https://t.co/eyjPNkot5U"
2021-03-05 13:38:29,Meo_Xam_7,,"@_ngococt13_ RACISM IS NOT OPINION
RACISM IS NOT ENTERTAINMENT

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT… https://t.co/J8tQ7xCIfm"
2021-03-05 13:38:25,BANGSWlFTNATION,,"After being accused of copying the ARMY logo, Mehrad Hidden- an Iranian rapper- has insulted, along with his fans,… https://t.co/GfxqVAHW59"
2021-03-05 12:30:28,asalsd11,,Army #Racismmehradhidden  who copied the logo a few days ago &amp; then his fans came and threatened the Iranian armi w… https://t.co/swIgGneW5W
2021-03-05 12:18:27,The_Future_Us,"Scotland, UK","@bbcintroducing This anti-racism song, was inspired by the move towards fascism and anti immigrant fears over the p… https://t.co/bf8lDHdAXs"
2021-03-05 12:12:16,madwrld_con,Hell,"❗️PLEASE SPREAD AWARENESS ❗️
So in this video it clearly shows a WHITE girl beating up a MUSLIM Girl and you can se… https://t.co/VRgOQfRIg5"
2021-03-05 12:10:14,The_Future_Us,"Scotland, UK",@AntiRacismDay Thank you for the work you do. This is a song which was inspired by the move towards racism and fasc… https://t.co/vg09gTOrtz
2021-03-05 11:42:25,Ftm81531580,,"@PJMINBESTESTBOY @BigHitEnt Arrrmy heeelp
#Army_help #ARMYSelcaDay 
#BTSNo1GlobalArtist 
#NOtoRacism https://t.co/OoRKilB9l9"
2021-03-05 11:41:38,Ftm81531580,,"@zseven07_ @BigHitEnt Arrrmy heeelp
#Army_help #ARMYSelcaDay 
#BTSNo1GlobalArtist 
#NOtoRacism https://t.co/4uLxT7mBKI"
